zeta_unstable_A,sigma_w_unstable_A
3.55E+00,3.98
2.85E+00,2.1
1.36E+00,2.42
1.31E+00,2.74
1.16E+00,1.83
1.15E+00,1.93
1.06E+00,1.94
1.04E+00,3.09
9.57E-01,1.99
7.33E-01,2.03
6.41E-01,2.07
5.97E-01,1.42
5.28E-01,1.81
5.26E-01,1.43
5.01E-01,1.9
4.58E-01,2.86
4.29E-01,1.85
3.42E-01,2.36
3.28E-01,2.09
2.80E-01,3.05
2.41E-01,1.99
2.35E-01,1.77
2.35E-01,1.69
2.34E-01,2.36
2.31E-01,2.8
2.15E-01,2.03
2.08E-01,1.96
2.05E-01,1.99
2.02E-01,1.71
1.87E-01,1.8
1.85E-01,1.18
1.80E-01,1.5
1.61E-01,2.05
1.60E-01,1.75
1.58E-01,1.62
1.58E-01,1.62
1.54E-01,1.4
1.37E-01,1.25
1.36E-01,1.58
1.22E-01,1.44
1.17E-01,1.3
1.02E-01,1.13
9.58E-02,1.21
8.27E-02,1.45
8.11E-02,1.37
7.81E-02,1.51
7.02E-02,0.97
6.80E-02,1.37
6.69E-02,1.83
6.32E-02,2.01
5.82E-02,1.23
5.36E-02,1.19
4.40E-02,1.07
4.34E-02,1.38
4.26E-02,1.08
3.83E-02,1.68
3.62E-02,1.48
3.23E-02,1.46
2.33E-02,1.05
2.30E-02,1.27
2.29E-02,1.32
2.18E-02,1.67
2.14E-02,2.16
2.05E-02,1.34
1.97E-02,1.35
1.68E-02,1.44
1.56E-02,1.32
1.54E-02,1.4
1.52E-02,1.86
1.45E-02,1.93
1.20E-02,1.47
1.19E-02,1.61
8.95E-03,1.54
7.52E-03,1.28
5.18E-03,1.46
5.02E-03,1.1
4.73E-03,1.52
3.99E-03,1.29
3.21E-03,1.63
2.83E-03,1.38
2.49E-03,1.59
2.41E-03,1.53
2.25E-03,1.42
9.49E-04,1.7
