"secAstable.norm_sigWAstable" "secAstable.norm2_sigWAstable" "secAstable.norm_sigTAstable" "Az_LstableRand"
"1" 1.389 10.0438677360965 -84.722 0.004
"2" 1.658 9.3368474413953 -54.455 0.044
"3" 1.597 8.96415673619026 -67.857 0.009
"4" 1.378 6.42080143610669 -31.365 0.037
"5" 1.465 6.46077250311431 -19.071 0.001
"6" 1.448 5.70325461730222 -14.1 0.001
"7" 1.514 5.42670900900111 -58.889 0.012
"8" 1.555 5.12462689056761 -23.956 0.003
"9" 1.857 5.61127726091025 -37.752 0.483
"10" 1.728 4.80252170199929 -8.207 0.005
"11" 1.458 3.92199586793081 -13.333 0.007
"12" 1.454 3.89208770579928 -7.051 0.011
"13" 1.835 4.12575603056753 -22.124 0.055
"14" 1.648 3.06512060175205 -12.277 0.002
"15" 1.861 3.2518167197766 -8.56 0.021
"16" 1.549 2.51867601046521 -4.622 0.001
"17" 3.333 2.62665635904038 -2.525 0.012
