"secAunstable.norm_sigWAunstable" "secAunstable.norm2_sigWAunstable" "secAunstable.norm_sigTAunstable" "Az_LunstableRand"
"1" 3.979 1.61192299197614 1.47 -0.528
"2" 2.101 0.916784199880942 0.861 -0.043
"3" 2.422 1.35068875775273 1.356 -0.733
"4" 2.742 1.54995146626248 1.825 -0.102
"5" 1.831 1.07552589399095 2.029 -0.429
"6" 1.925 1.14250694349841 2.372 -0.023
"7" 1.944 1.17891845254961 1.556 -0.187
"8" 3.088 1.88316163811075 2.983 -0.081
"9" 1.99 1.24910216475394 1.794 -0.043
"10" 2.031 1.39300586446645 1.734 -0.526
"11" 2.073 1.48709620163177 4.819 -0.241
"12" 1.425 1.04662404434256 2.113 -0.054
"13" 1.81 1.38477813327596 2.417 -1.365
"14" 1.426 1.0957281928851 3.035 -0.231
"15" 1.897 1.47720326543144 2.315 -0.016
"16" 2.864 2.29707052864716 7.163 -0.02
"17" 1.851 1.51792737382316 2.208 -0.234
"18" 2.355 2.08094782585581 4.649 -0.005
"19" 2.091 1.87596529699855 2.145 -0.044
"20" 3.046 2.87880244195216 3.571 -0.058
"21" 1.99 1.97793124748422 2.714 -0.063
"22" 1.768 1.77256491480629 3.216 -0.001
"23" 1.688 1.69327202088503 1.627 -0.202
"24" 2.363 2.3692822372304 2.865 -0.005
"25" 2.797 2.82023586707509 2.286 -0.023
"26" 2.035 2.10002614860878 1.733 -0.004
"27" 1.956 2.04113583206121 4.062 -0.122
"28" 1.992 2.08675796425028 6.333 -0.015
"29" 1.708 1.80093039448933 4.383 -0.003
"30" 1.802 1.95004759695443 3.555 -0.021
"31" 1.176 1.27711103798794 3.981 -0.096
"32" 1.503 1.64646362930896 5.542 -0.002
"33" 2.054 2.33076751735644 12.619 -0.957
"34" 1.747 1.9900892170651 7.237 -2.85
"35" 1.618 1.85259033008688 2.677 -0.161
"36" 1.618 1.85259033008688 2.677 -0.008
"37" 1.399 1.61537444463427 1.572 -0.067
"38" 1.252 1.50063338920329 2.924 -0.641
"39" 1.582 1.9025198665284 11.828 -0.136
"40" 1.444 1.80205668997339 2.461 -1.16
"41" 1.301 1.64495123757341 3.131 -0.022
"42" 1.134 1.49922339425096 2.808 -0.078
"43" 1.21 1.63533244572092 3.138 -0.235
"44" 1.449 2.05714666782208 2.179 -0.215
"45" 1.368 1.95381373165649 9.153 -0.068
"46" 1.506 2.17878388261475 5.521 -0.038
"47" 0.971 1.4557797167328 3.804 -0.458
"48" 1.366 2.07004523191135 6.98 -0.012
"49" 1.829 2.78601130222963 6.863 -0.117
"50" 2.012 3.12214482483001 10.244 -0.036
"51" 1.23 1.96263340643311 4.722 -0.07
"52" 1.186 1.94684148401248 3.263 -0.154
"53" 1.069 1.8736450336076 2.968 -0.015
"54" 1.381 2.42847832936585 12.459 -0.009
"55" 1.078 1.91065638574181 2.855 -1.061
"56" 1.678 3.07643301864691 12.823 -0.342
"57" 1.476 2.75916963285504 10.366 -0.501
"58" 1.458 2.82965912464186 4.934 -0.012
"59" 1.047 2.26610202239384 6.99 -0.18
"60" 1.267 2.75357553762891 5.201 -0.032
"61" 1.316 2.86452875499852 7.848 -1.311
"62" 1.675 3.70266894405941 21.486 -0.208
"63" 2.163 4.81375249690487 11.961 -0.023
"64" 1.343 3.03645580413528 8.531 -0.158
"65" 1.346 3.08243905373425 31.315 -1.042
"66" 1.436 3.46743125570003 17.056 -0.235
"67" 1.316 3.25497617357764 5.469 -1.147
"68" 1.398 3.47433879187182 10.215 -0.002
"69" 1.858 4.63727156491171 31.604 -0.015
"70" 1.932 4.89104903981566 11.521 -0.137
"71" 1.474 3.97531016269381 14.786 -0.597
"72" 1.609 4.35798429743464 10.769 -0.002
"73" 1.544 4.5938383610047 47.81 -3.553
"74" 1.28 4.03985398043632 5.872 -0.328
"75" 1.456 5.20441411637732 14.154 -0.205
"76" 1.097 3.96095977170883 45.455 -0.16
"77" 1.525 5.61495642143052 15.377 -0.003
"78" 1.291 5.03662693058849 13.81 -0.02
"79" 1.632 6.83779174833772 50.437 -0.083
"80" 1.381 6.03650877678803 16.152 -0.185
"81" 1.59 7.25132790778115 97.17 -0.28
"82" 1.531 7.05032546195761 57.736 -0.005
"83" 1.416 6.68439297526974 34.872 -0.158
"84" 1.703 10.7062044659513 67.192 -0.017
