"secDstable.norm_sigWDstable" "secDstable.norm2_sigWDstable" "secDstable.norm_sigTDstable" "Dz_LstableRand"
"1" 1.453 6.88222248370949 -341.92 0.003
"2" 1.078 4.82448437683738 -19.749 0.047
"3" 1.506 4.56735961556849 -12.333 0.102
"4" 1.11 3.10281081061311 -33.565 0.008
"5" 1.44 3.98247638252576 -65.966 0.002
"6" 1.407 3.88271372316092 -7.845 0.176
"7" 1.25 3.15204607063262 -9.756 0.212
"8" 1.405 2.53864567996031 -42.827 0.041
"9" 1.108 1.98185962010687 -10.702 0.119
"10" 1.305 2.23894467834611 -21.995 0.011
"11" 1.662 2.4839304470658 -24.078 0.04
"12" 1.373 1.8046419140151 -9.298 0.011
"13" 1.641 2.12061535976213 -20.481 0.015
"14" 1.466 1.83064052817602 -15.602 0.071
"15" 1.348 1.49090802876932 -9.059 0.112
"16" 1.414 1.46782710890374 -9.918 0.011
"17" 1.809 1.65271223228995 -5.942 0.67
"18" 1.779 1.25353617470076 -4.898 0.315
"19" 2.293 1.55526768360269 -6.63 0.727
