"secDunstable.norm_sigWDunstable" "secDunstable.norm2_sigWDunstable" "secDunstable.norm_sigTDunstable" "Dz_LunstableRand"
"1" 2.719 0.794893998865608 1.37 -0.193
"2" 3.137 0.945636128761269 1.078 -0.69
"3" 2.061 0.908803146486365 1.614 -0.415
"4" 2.337 1.12029184618536 2.353 -0.284
"5" 2.577 1.25226498396747 1.625 -0.369
"6" 2.105 1.05643813197435 1.17 -0.059
"7" 2.307 1.15599385870383 3.313 -0.607
"8" 1.793 0.904934959206291 1.114 -1.16
"9" 1.747 0.91502223466657 2.424 -0.221
"10" 3.476 1.84243977603203 1.315 -0.654
"11" 1.76 0.970686283472497 1.307 -0.383
"12" 3.035 1.66575568964477 6.667 -0.088
"13" 2.235 1.25831510433725 1.231 -0.102
"14" 2.631 1.47183386169594 1.964 -0.237
"15" 1.995 1.12431632310519 2.118 -0.151
"16" 1.803 1.04830417192654 2.02 -0.368
"17" 1.744 1.01478391992713 1.991 -0.102
"18" 1.734 1.02535311942159 1.388 -0.136
"19" 1.498 0.916732629128103 1.729 -0.052
"20" 1.499 0.917937943231759 1.73 -0.028
"21" 1.862 1.14218021459239 2.25 -0.357
"22" 1.755 1.07066182278578 3.321 -0.006
"23" 2.109 1.32010816107157 4.696 -0.203
"24" 1.855 1.17886320605669 2.648 -0.169
"25" 2.285 1.47041829646543 3.478 -1.334
"26" 1.584 1.04165524141422 2.573 -0.251
"27" 1.685 1.10724777874736 2.115 -1.579
"28" 1.765 1.18196192685753 3.02 -0.405
"29" 2.288 1.55506383939366 3.615 -0.5
"30" 1.834 1.25022382409113 1.818 -0.148
"31" 1.576 1.07630471721884 2.455 -0.056
"32" 1.756 1.21392954933733 2.224 -0.488
"33" 1.23 0.855760203112714 1.951 -0.824
"34" 1.821 1.26004041693083 4.929 -0.001
"35" 1.871 1.30785366428722 3.491 -0.267
"36" 1.462 1.02942387723994 2.017 -1.41
"37" 1.462 1.02942387723994 2.017 -0.03
"38" 1.681 1.18382666811171 3.783 -0.229
"39" 2.006 1.41349766746074 2.892 -0.016
"40" 1.559 1.10636034661678 1.726 -0.09
"41" 1.683 1.18939263822961 2.32 -0.115
"42" 1.382 0.979689717743193 3.027 -0.84
"43" 1.597 1.13597925468024 1.554 -1.052
"44" 1.882 1.34810166529023 2.757 -0.13
"45" 1.504 1.08954366274224 2.219 -0.066
"46" 1.221 0.891810175137465 1.819 -0.198
"47" 1.476 1.07657956629724 1.673 -0.242
"48" 1.476 1.07657956629724 1.673 -0.139
"49" 1.607 1.18100130977335 3.577 -0.453
"50" 1.397 1.03225245027036 2.295 -0.374
"51" 1.221 0.90675733280988 1.623 -0.736
"52" 1.221 0.90675733280988 1.623 -0.153
"53" 1.422 1.06088612719845 3.165 -0.284
"54" 1.294 0.971123259176431 1.963 -0.085
"55" 1.311 0.995051697075117 2.036 -0.167
"56" 1.523 1.16220737405349 1.395 -0.254
"57" 1.471 1.13785732939851 2.654 -0.151
"58" 1.411 1.0903855564699 2.132 -1.022
"59" 1.146 0.888430454476189 2.218 -0.27
"60" 1.294 1.00804612034497 3.364 -1.283
"61" 1.472 1.1561702963783 2.555 -0.004
"62" 1.194 0.943387505719031 1.724 -0.169
"63" 1.32 1.05112256907831 2.246 -1.17
"64" 1.442 1.16247887218108 2.401 -1.88
"65" 1.375 1.1057789507772 2.495 -8.142
"66" 1.499 1.21295870334429 4.336 -0.114
"67" 1.296 1.04512090380949 2.468 -0.107
"68" 1.191 0.969968339099619 1.795 -1.353
"69" 1.14 0.935048739355244 3.241 -0.005
"70" 1.306 1.08039984802763 2.722 -0.981
"71" 1.327 1.09624215505866 2.517 -0.02
"72" 1.139 0.942689676124104 1.862 -0.3
"73" 1.587 1.31135053422331 2.034 -0.191
"74" 1.223 1.02638905050559 2.103 -0.216
"75" 1.161 0.969823505478369 1.811 -0.164
"76" 1.272 1.06032489236892 1.851 -0.152
"77" 1.261 1.07262278513912 2.61 -0.326
"78" 1.437 1.22737232520639 4.615 -0.407
"79" 1.148 0.977613247331976 1.869 -0.115
"80" 1.15 0.979807480984601 1.862 -0.134
"81" 1.812 1.54852972956475 2.396 -0.275
"82" 1.734 1.4809575853055 3.244 -0.33
"83" 1.782 1.5197795183027 6.13 -0.535
"84" 1.245 1.07421410396682 1.958 -0.463
"85" 1.112 0.96001389869142 1.657 -0.657
"86" 1.195 1.04438334382394 2.515 -0.134
"87" 1.307 1.13523557634591 1.954 -0.231
"88" 1.222 1.06807820839044 1.909 -0.14
"89" 1.148 1.01036794597461 2.241 -0.511
"90" 1.082 0.955028851208763 2.339 -0.709
"91" 1.461 1.2908956683676 2.608 -0.177
"92" 1.622 1.44070168191357 2.132 -0.67
"93" 1.402 1.25299659959748 3.546 -0.052
"94" 1.121 1.00373902919826 2.026 -0.318
"95" 0.973 0.87146203859728 2.458 -0.344
"96" 1.22 1.09329845899231 2.015 -0.231
"97" 1.276 1.14746158340053 2.225 -0.68
"98" 1.664 1.48912531798681 4.619 -0.07
"99" 1.206 1.08893997712323 2.849 -0.244
"100" 1.166 1.05063717159106 2.323 -0.568
"101" 1.81 1.65255446471616 5.927 -0.615
"102" 1.225 1.12799180140085 2.882 -0.076
"103" 1.202 1.11093247079987 2.492 -0.207
"104" 1.829 1.72216230763838 6.125 -0.129
"105" 1.315 1.2340091512261 6.625 -0.138
"106" 1.226 1.15444338184156 2.766 -0.511
"107" 1.169 1.11259356728367 2.932 -0.335
"108" 1.248 1.18705110340274 2.246 -0.318
"109" 1.311 1.25885933484008 5.081 -0.439
"110" 1.116 1.07275525177122 3.021 -0.383
"111" 1.291 1.26144450700385 4.012 -0.385
"112" 1.254 1.23251266807474 4.902 -0.456
"113" 1.387 1.35639281033091 4.286 -2.08
"114" 1.755 1.71811131752461 8.172 -0.238
"115" 0.985 0.975085655425146 2.566 -0.417
"116" 1.202 1.193610943776 2.807 -0.096
"117" 1.14 1.13831461231249 2.792 -1.655
"118" 1.466 1.46829880329049 2.224 -0.076
"119" 2.49 2.48998926011832 7.791 -0.617
"120" 1.196 1.20362599336979 2.9 -0.17
"121" 1.3 1.30568202906979 3.108 -0.12
"122" 1.158 1.16151469290264 2.622 -0.772
"123" 1.713 1.72123490205013 8.643 -0.203
"124" 1.257 1.26831969021102 3.579 -0.105
"125" 1.349 1.36465977972164 2.998 -0.723
"126" 1.116 1.12777210741201 1.864 -0.006
"127" 1.33 1.34339787999613 3.006 -0.64
"128" 1.409 1.43533248040497 6.657 -0.214
"129" 1.202 1.23903956505769 3.434 -0.25
