date,time,SigU,SigV,SigW,SigT,ustar,wT,ui,vi,V,L1,z_L1,CD,Tstar,norm_sigU,norm_sigV,norm_sigW,norm_sigT,Tavg,L2,z_L2
7/6/10,2:00,0.273,0.220,0.113,0.122,0.0284,0.002,0.165,0.464,0.549,-0.076,-35.403,0.003,0.083,9.613,7.746,3.979,1.470,30.475,-0.754,-3.553
19/05/2010,23:00,0.333,0.424,0.133,0.286,0.0633,0.021,0.035,0.065,0.501,-0.100,-26.935,0.016,0.332,5.261,6.698,2.101,0.861,32.327,-0.940,-2.850
26/01/2010,3:00,0.329,0.229,0.125,0.141,0.0516,0.005,0.051,0.632,0.684,-0.183,-14.645,0.006,0.104,6.376,4.438,2.422,1.356,28.068,-1.964,-1.365
4/3/10,23:00,0.275,0.678,0.187,0.323,0.0682,0.012,0.013,0.292,0.682,-0.220,-12.182,0.010,0.177,4.032,9.941,2.742,1.825,32.929,-2.045,-1.311
28/04/2010,4:00,0.254,0.249,0.091,0.168,0.0498,0.004,0.013,0.432,0.521,-0.224,-11.964,0.009,0.083,5.100,5.000,1.831,2.029,29.322,-2.311,-1.160
28/04/2010,3:00,0.254,0.200,0.088,0.162,0.0455,0.003,0.082,0.318,0.407,-0.229,-11.703,0.013,0.068,5.582,4.396,1.925,2.372,29.668,-2.337,-1.147
15/7/2010,21:00,0.402,0.409,0.125,0.196,0.0643,0.008,0.244,0.333,0.599,-0.247,-10.850,0.012,0.126,6.252,6.361,1.944,1.556,29.604,-2.526,-1.061
15/06/2010,23:30,0.522,0.337,0.151,0.213,0.0489,0.003,0.014,0.558,0.774,-0.239,-11.213,0.004,0.071,10.675,6.892,3.088,2.983,27.991,-2.571,-1.042
22/06/2010,0:00,0.314,0.468,0.124,0.192,0.0623,0.007,0.091,0.114,0.622,-0.280,-9.571,0.010,0.107,5.040,7.512,1.990,1.794,30.353,-2.800,-0.957
19/05/2010,3:00,0.278,0.265,0.133,0.158,0.0655,0.006,0.032,0.541,0.613,-0.376,-7.128,0.011,0.091,4.244,4.046,2.031,1.734,31.292,-3.658,-0.733
10/7/10,21:30,0.312,0.502,0.136,0.385,0.0656,0.005,0.139,0.119,0.618,-0.432,-6.204,0.011,0.080,4.756,7.652,2.073,4.819,31.465,-4.182,-0.641
14/7/2010,2:30,0.173,0.309,0.112,0.224,0.0786,0.008,0.061,0.191,0.409,-0.435,-6.161,0.037,0.106,2.201,3.931,1.425,2.113,29.317,-4.488,-0.597
9/6/10,1:30,0.303,0.295,0.137,0.210,0.0757,0.007,0.074,0.519,0.611,-0.486,-5.514,0.015,0.087,4.003,3.897,1.810,2.417,28.927,-5.075,-0.528
9/6/10,22:30,0.242,0.227,0.098,0.217,0.0685,0.005,0.021,0.446,0.503,-0.525,-5.105,0.019,0.072,3.533,3.314,1.426,3.035,31.406,-5.091,-0.526
16/8/2010,1:00,0.474,0.305,0.176,0.287,0.0928,0.012,0.247,0.765,0.871,-0.513,-5.224,0.011,0.124,5.108,3.287,1.897,2.315,28.967,-5.350,-0.501
26/01/2010,4:00,0.303,0.212,0.114,0.149,0.0398,0.001,0.037,0.426,0.485,-0.542,-4.945,0.007,0.021,7.613,5.327,2.864,7.163,27.865,-5.855,-0.458
12/7/10,4:00,0.412,0.670,0.167,0.223,0.0902,0.009,0.151,0.242,0.805,-0.609,-4.401,0.013,0.101,4.568,7.428,1.851,2.208,29.535,-6.241,-0.429
17/8/2010,0:30,0.319,0.206,0.130,0.139,0.0552,0.002,0.214,0.937,0.985,-0.730,-3.671,0.003,0.030,5.779,3.732,2.355,4.649,28.101,-7.826,-0.342
27/7/2010,1:00,0.437,0.671,0.179,0.148,0.0856,0.006,0.102,0.221,0.749,-0.792,-3.384,0.013,0.069,5.105,7.839,2.091,2.145,29.283,-8.180,-0.328
9/6/10,0:30,0.605,0.453,0.251,0.195,0.0824,0.005,0.305,1.350,1.470,-0.912,-2.939,0.003,0.055,7.342,5.498,3.046,3.571,28.784,-9.566,-0.280
13/01/2010,5:00,0.431,0.428,0.199,0.187,0.1000,0.007,0.057,0.820,0.928,-1.020,-2.627,0.012,0.069,4.310,4.280,1.990,2.714,27.577,-11.123,-0.241
11/1/10,2:30,0.416,0.370,0.174,0.210,0.0984,0.006,0.091,0.736,0.837,-1.080,-2.481,0.014,0.065,4.228,3.760,1.768,3.216,28.556,-11.411,-0.235
13/01/2010,3:30,0.465,0.513,0.238,0.218,0.1410,0.019,0.207,0.655,0.890,-1.100,-2.436,0.025,0.134,3.298,3.638,1.688,1.627,29.102,-11.424,-0.235
17/8/2010,21:30,0.358,0.264,0.138,0.066,0.0584,0.001,0.132,0.855,0.906,-1.090,-2.459,0.004,0.023,6.130,4.521,2.363,2.865,28.775,-11.437,-0.234
