SigU,SigV,SigW,SigT,ustar,wT,ui,vi,V,CD,Tstar,Tavg,L,z_L2,norm_sigU,norm_sigV,norm_sigV,norm_sigT
2.260,0.873,0.502,0.731,0.5540,0.143,2.500,0.866,2.900,0.036,0.258,31.551,-92.450,0.043,4.079,1.576,0.906,2.834
1.360,1.120,0.575,0.473,0.4470,0.080,1.060,2.700,3.130,0.020,0.180,29.741,-85.856,0.047,3.043,2.506,1.286,2.632
1.280,1.010,0.425,0.505,0.4150,0.066,1.470,1.240,2.210,0.035,0.160,32.265,-83.823,0.048,3.084,2.434,1.024,3.153
1.470,0.961,0.456,0.394,0.3920,0.059,1.760,1.160,2.350,0.028,0.151,33.117,-79.467,0.050,3.750,2.452,1.163,2.610
1.380,1.060,0.474,0.571,0.4410,0.085,1.620,1.970,2.790,0.025,0.192,30.561,-78.306,0.051,3.129,2.404,1.075,2.970
1.550,0.717,0.375,0.412,0.3830,0.058,1.610,0.740,1.980,0.037,0.152,31.228,-75.026,0.053,4.047,1.872,0.979,2.716
1.050,0.964,0.418,0.339,0.3500,0.047,1.430,1.410,2.240,0.025,0.134,29.628,-70.591,0.057,3.000,2.754,1.194,2.530
1.510,1.330,0.621,0.531,0.4560,0.108,0.868,3.040,3.450,0.018,0.237,33.487,-68.543,0.058,3.311,2.917,1.362,2.239
2.080,1.300,0.520,0.776,0.4830,0.132,2.310,1.480,3.140,0.024,0.274,33.746,-66.611,0.060,4.306,2.692,1.077,2.831
2.320,0.853,0.516,0.852,0.4880,0.137,2.170,0.547,2.560,0.036,0.280,32.761,-66.285,0.060,4.754,1.748,1.057,3.040
1.500,0.781,0.373,0.491,0.3860,0.069,1.440,0.882,2.240,0.030,0.178,31.998,-65.173,0.061,3.886,2.023,0.966,2.761
1.020,1.110,0.437,0.518,0.3730,0.062,1.280,1.810,2.490,0.023,0.166,29.742,-64.950,0.062,2.735,2.976,1.172,3.130
1.360,1.230,0.520,0.578,0.4060,0.081,1.910,1.890,2.970,0.019,0.200,30.209,-63.825,0.063,3.350,3.030,1.281,2.892
1.010,0.921,0.433,0.411,0.3480,0.051,1.130,1.770,2.320,0.022,0.147,30.348,-63.797,0.063,2.902,2.647,1.244,2.799
1.960,0.749,0.451,0.793,0.4610,0.120,1.740,0.442,2.150,0.046,0.259,31.088,-63.582,0.063,4.252,1.625,0.978,3.058
1.670,0.779,0.426,0.735,0.4510,0.113,1.780,0.760,2.180,0.043,0.252,32.748,-63.103,0.063,3.703,1.727,0.945,2.923
1.530,1.120,0.403,0.644,0.3690,0.062,1.310,0.951,2.140,0.030,0.169,31.030,-62.658,0.064,4.146,3.035,1.092,3.818
1.330,1.220,0.588,0.446,0.3770,0.067,0.931,3.060,3.430,0.012,0.177,30.098,-62.174,0.064,3.528,3.236,1.560,2.520
1.830,0.933,0.429,0.637,0.4180,0.094,1.680,0.808,2.200,0.036,0.226,34.576,-60.790,0.066,4.378,2.232,1.026,2.824
1.690,1.110,0.499,0.744,0.4620,0.127,2.310,1.490,2.990,0.024,0.274,31.224,-60.521,0.066,3.658,2.403,1.080,2.716
1.020,0.884,0.437,0.320,0.2930,0.032,0.791,2.140,2.460,0.014,0.110,29.972,-60.306,0.066,3.481,3.017,1.491,2.907
2.080,0.853,0.495,0.746,0.4790,0.146,2.380,0.842,2.750,0.030,0.305,33.214,-58.703,0.068,4.342,1.781,1.033,2.441
2.310,0.885,0.495,0.777,0.4710,0.139,2.070,0.366,2.520,0.035,0.296,33.691,-58.687,0.068,4.904,1.879,1.051,2.626
1.640,1.060,0.442,0.792,0.4450,0.121,1.530,1.060,2.210,0.040,0.272,34.502,-57.090,0.070,3.685,2.382,0.993,2.911
1.470,1.220,0.559,0.764,0.4630,0.136,0.986,2.360,2.850,0.026,0.294,33.236,-57.072,0.070,3.175,2.635,1.207,2.602
1.390,1.180,0.556,0.567,0.3970,0.086,0.785,2.980,3.310,0.014,0.217,31.199,-56.287,0.071,3.501,2.972,1.401,2.607
2.150,0.831,0.457,0.837,0.4630,0.138,2.250,0.692,2.620,0.031,0.298,31.416,-55.974,0.071,4.644,1.795,0.987,2.813
1.350,1.120,0.579,0.556,0.3920,0.084,0.737,2.970,3.260,0.015,0.214,30.678,-55.761,0.072,3.444,2.857,1.477,2.604
1.190,1.020,0.427,0.576,0.3520,0.061,0.967,1.350,1.980,0.032,0.174,29.951,-55.092,0.073,3.381,2.898,1.213,3.313
1.750,0.801,0.427,0.817,0.4470,0.126,1.740,0.637,2.150,0.043,0.283,32.507,-55.077,0.073,3.915,1.792,0.955,2.889
1.400,0.811,0.386,0.486,0.3610,0.067,1.570,0.938,2.060,0.031,0.185,32.484,-54.862,0.073,3.878,2.247,1.069,2.623
1.080,0.881,0.454,0.294,0.2690,0.028,0.406,2.210,2.440,0.012,0.103,32.064,-54.506,0.073,4.015,3.275,1.688,2.847
2.210,0.747,0.455,0.906,0.4690,0.148,2.150,0.547,2.490,0.036,0.316,31.595,-54.132,0.074,4.712,1.593,0.970,2.867
1.380,1.210,0.459,0.705,0.4030,0.094,1.370,1.330,2.300,0.031,0.234,30.748,-53.709,0.074,3.424,3.002,1.139,3.006
1.560,0.889,0.419,0.818,0.4640,0.146,1.940,1.130,2.480,0.035,0.314,32.369,-53.509,0.075,3.362,1.916,0.903,2.609
1.490,1.140,0.531,0.764,0.4560,0.144,1.630,1.550,2.570,0.031,0.315,34.245,-51.759,0.077,3.268,2.500,1.164,2.425
1.460,1.240,0.511,0.668,0.4090,0.103,1.880,1.660,2.830,0.021,0.252,31.500,-51.570,0.078,3.570,3.032,1.249,2.648
1.150,1.260,0.446,0.555,0.3610,0.072,0.905,1.700,2.300,0.025,0.199,32.120,-51.021,0.078,3.186,3.490,1.235,2.791
1.660,1.390,0.492,0.805,0.4360,0.129,1.850,1.560,2.830,0.024,0.296,33.897,-50.340,0.079,3.807,3.188,1.128,2.721
1.540,1.220,0.490,0.782,0.4310,0.126,1.590,1.710,2.680,0.026,0.291,31.876,-49.596,0.081,3.573,2.831,1.137,2.683
0.919,0.721,0.366,0.391,0.2980,0.042,0.601,1.810,2.050,0.021,0.140,30.915,-49.140,0.081,3.084,2.419,1.228,2.792
1.070,0.973,0.415,0.532,0.3480,0.068,1.160,1.420,2.100,0.028,0.194,30.360,-48.321,0.083,3.075,2.796,1.193,2.744
1.410,0.982,0.456,0.701,0.4200,0.120,1.740,1.310,2.430,0.030,0.285,32.056,-48.255,0.083,3.357,2.338,1.086,2.463
1.850,0.941,0.466,0.754,0.4190,0.120,1.950,0.875,2.450,0.029,0.285,31.305,-47.778,0.084,4.415,2.246,1.112,2.643
1.610,1.320,0.570,0.739,0.4620,0.163,2.100,1.770,3.080,0.023,0.352,33.259,-47.357,0.084,3.485,2.857,1.234,2.098
1.120,1.050,0.382,0.501,0.3240,0.057,0.977,1.400,2.000,0.026,0.175,32.132,-46.616,0.086,3.457,3.241,1.179,2.856
1.250,0.942,0.381,0.557,0.3470,0.071,1.460,1.110,2.110,0.027,0.203,31.541,-46.048,0.087,3.602,2.715,1.098,2.741
1.400,1.280,0.550,0.641,0.3670,0.090,0.487,2.360,2.750,0.018,0.245,33.980,-43.026,0.093,3.815,3.488,1.499,2.613
1.200,1.050,0.522,0.786,0.3910,0.110,1.200,2.540,3.010,0.017,0.281,32.897,-42.438,0.094,3.069,2.685,1.335,2.794
1.140,1.210,0.452,0.435,0.3310,0.068,0.733,1.780,2.300,0.021,0.205,31.824,-41.593,0.096,3.444,3.656,1.366,2.124
1.250,0.571,0.313,0.574,0.3340,0.070,1.350,0.562,1.640,0.041,0.210,31.701,-41.291,0.097,3.743,1.710,0.937,2.733
1.440,1.280,0.537,0.784,0.4000,0.121,0.821,2.370,2.870,0.019,0.303,33.100,-41.249,0.097,3.600,3.200,1.343,2.586
1.890,0.728,0.454,0.798,0.4180,0.139,2.040,0.686,2.370,0.031,0.333,33.788,-41.036,0.097,4.522,1.742,1.086,2.394
1.360,0.953,0.444,0.952,0.4430,0.166,1.330,1.110,2.060,0.046,0.375,33.936,-40.984,0.098,3.070,2.151,1.002,2.539
1.110,0.793,0.345,0.522,0.3300,0.069,1.090,0.845,1.660,0.040,0.208,31.486,-40.647,0.098,3.364,2.403,1.045,2.507
1.480,1.280,0.558,0.646,0.3870,0.112,0.911,2.830,3.260,0.014,0.289,33.241,-40.563,0.099,3.824,3.307,1.442,2.237
1.380,0.923,0.421,0.703,0.3840,0.112,1.730,1.160,2.300,0.028,0.291,32.061,-39.454,0.101,3.594,2.404,1.096,2.415
1.280,1.050,0.437,0.671,0.3520,0.086,1.380,1.280,2.170,0.026,0.246,31.933,-39.262,0.102,3.636,2.983,1.241,2.734
1.350,0.869,0.407,0.885,0.4100,0.137,1.300,0.888,1.880,0.048,0.334,32.392,-39.257,0.102,3.293,2.120,0.993,2.651
1.190,1.000,0.449,0.820,0.4030,0.131,0.580,1.800,2.210,0.033,0.325,31.834,-38.927,0.103,2.953,2.481,1.114,2.526
1.350,1.280,0.523,0.820,0.3860,0.118,0.851,2.370,2.830,0.019,0.305,31.702,-37.960,0.105,3.497,3.316,1.355,2.686
1.130,1.180,0.381,0.572,0.3270,0.072,1.210,1.300,2.200,0.022,0.219,30.892,-37.930,0.105,3.456,3.609,1.165,2.618
0.865,0.900,0.324,0.322,0.2530,0.033,0.849,1.300,1.790,0.020,0.131,29.867,-37.795,0.106,3.419,3.557,1.281,2.459
1.360,0.587,0.354,0.709,0.3340,0.076,1.100,0.226,1.430,0.055,0.228,29.251,-37.704,0.106,4.072,1.757,1.060,3.104
