SigU,SigV,SigW,SigT,ustar,wT,ui,vi,V,L,z_L1,CD,Tstar,norm_sigU,norm_sigV,norm_sigW,norm_sigT,Tavg,L,z_L2
0.114,0.177,0.072,0.274,0.026,0.005,-0.034,0.047,0.220,-0.027,-99.259,0.014,0.200,4.335,6.730,2.719,1.370,30.576,-0.268,-9.992
0.182,0.179,0.080,0.165,0.026,0.004,-0.122,0.200,0.303,-0.032,-83.750,0.007,0.153,7.109,6.992,3.137,1.078,29.414,-0.329,-8.142
0.169,0.197,0.092,0.247,0.045,0.007,-0.164,0.235,0.349,-0.095,-28.122,0.016,0.153,3.798,4.427,2.061,1.614,28.942,-0.995,-2.694
0.303,0.185,0.111,0.320,0.048,0.006,-0.269,0.185,0.397,-0.130,-20.615,0.014,0.136,6.379,3.895,2.337,2.353,30.653,-1.288,-2.080
0.597,0.113,0.125,0.221,0.049,0.007,-0.501,0.002,0.537,-0.131,-20.458,0.008,0.136,12.309,2.330,2.577,1.625,29.603,-1.340,-2.000
0.191,0.227,0.104,0.158,0.049,0.007,-0.015,0.238,0.347,-0.143,-18.741,0.020,0.135,3.866,4.595,2.105,1.170,31.139,-1.397,-1.918
0.309,0.163,0.090,0.275,0.039,0.003,-0.298,0.224,0.445,-0.145,-18.483,0.008,0.083,7.903,4.169,2.307,3.313,30.935,-1.425,-1.880
0.367,0.205,0.111,0.224,0.062,0.013,-0.383,0.195,0.488,-0.141,-19.007,0.016,0.201,5.929,3.312,1.793,1.114,29.160,-1.462,-1.833
0.239,0.303,0.098,0.366,0.056,0.008,-0.145,0.214,0.400,-0.164,-16.341,0.020,0.151,4.253,5.391,1.747,2.424,30.780,-1.619,-1.655
0.436,0.404,0.170,0.142,0.049,0.005,-0.020,0.543,0.764,-0.161,-16.646,0.004,0.108,8.916,8.262,3.476,1.315,28.635,-1.697,-1.579
0.149,0.186,0.088,0.132,0.050,0.005,-0.093,0.200,0.297,-0.178,-15.056,0.028,0.101,2.986,3.727,1.760,1.307,28.220,-1.901,-1.410
0.273,0.174,0.087,0.216,0.029,0.001,-0.205,0.128,0.355,-0.199,-13.467,0.006,0.032,9.579,6.105,3.035,6.667,31.169,-1.943,-1.379
0.288,0.421,0.135,0.176,0.060,0.009,-0.017,0.381,0.616,-0.208,-12.885,0.010,0.143,4.768,6.970,2.235,1.231,32.040,-1.981,-1.353
0.300,0.416,0.131,0.188,0.050,0.005,-0.140,0.370,0.631,-0.207,-12.947,0.006,0.096,6.024,8.353,2.631,1.964,31.371,-2.009,-1.334
0.269,0.144,0.083,0.136,0.042,0.003,-0.228,0.026,0.360,-0.198,-13.535,0.013,0.064,6.451,3.453,1.995,2.118,28.609,-2.088,-1.283
0.284,0.148,0.092,0.183,0.051,0.005,-0.276,0.177,0.376,-0.210,-12.762,0.019,0.091,5.547,2.891,1.803,2.020,28.488,-2.224,-1.205
0.251,0.367,0.102,0.231,0.059,0.007,-0.123,0.314,0.539,-0.239,-11.213,0.012,0.116,4.291,6.274,1.744,1.991,31.807,-2.291,-1.170
0.339,0.234,0.108,0.179,0.062,0.008,-0.313,0.199,0.470,-0.224,-11.964,0.018,0.129,5.441,3.756,1.734,1.388,29.335,-2.310,-1.160
0.203,0.172,0.098,0.223,0.065,0.008,-0.287,0.248,0.424,-0.255,-10.510,0.024,0.129,3.113,2.638,1.498,1.729,30.398,-2.546,-1.052
0.191,0.198,0.093,0.199,0.062,0.007,-0.214,0.231,0.373,-0.267,-10.037,0.028,0.115,3.086,3.199,1.499,1.730,31.319,-2.596,-1.033
0.417,0.231,0.095,0.171,0.051,0.004,-0.365,0.233,0.506,-0.249,-10.763,0.010,0.076,8.209,4.547,1.862,2.250,28.769,-2.613,-1.026
0.233,0.175,0.075,0.180,0.043,0.002,-0.294,0.166,0.384,-0.264,-10.152,0.013,0.054,5.431,4.079,1.755,3.321,30.572,-2.623,-1.022
0.219,0.210,0.087,0.224,0.041,0.002,-0.180,0.297,0.408,-0.265,-10.113,0.010,0.048,5.328,5.109,2.109,4.696,29.357,-2.731,-0.981
0.290,0.319,0.118,0.278,0.064,0.007,-0.124,0.216,0.500,-0.292,-9.178,0.016,0.105,4.560,5.016,1.855,2.648,29.886,-2.961,-0.905
0.507,0.158,0.101,0.176,0.044,0.002,-0.456,0.097,0.514,-0.298,-8.993,0.007,0.051,11.471,3.575,2.285,3.478,30.334,-2.981,-0.899
0.167,0.217,0.089,0.195,0.056,0.004,-0.095,0.171,0.320,-0.315,-8.508,0.031,0.076,2.982,3.875,1.584,2.573,29.913,-3.191,-0.840
0.194,0.205,0.094,0.154,0.056,0.004,-0.135,0.142,0.309,-0.299,-8.963,0.033,0.073,3.489,3.687,1.685,2.115,27.646,-3.253,-0.824
0.289,0.122,0.087,0.170,0.049,0.003,-0.324,0.198,0.415,-0.326,-8.221,0.014,0.056,5.850,2.470,1.765,3.020,29.499,-3.345,-0.801
0.258,0.213,0.090,0.124,0.039,0.001,-0.339,0.291,0.510,-0.342,-7.836,0.006,0.034,6.565,5.420,2.288,3.615,29.848,-3.472,-0.772
0.406,0.128,0.099,0.114,0.054,0.003,-0.461,0.103,0.498,-0.344,-7.791,0.012,0.063,7.505,2.366,1.834,1.818,28.900,-3.595,-0.745
0.320,0.126,0.088,0.162,0.056,0.004,-0.282,0.064,0.346,-0.347,-7.723,0.026,0.066,5.725,2.254,1.576,2.455,28.764,-3.642,-0.736
0.475,0.134,0.111,0.185,0.063,0.005,-0.442,0.063,0.537,-0.365,-7.342,0.014,0.083,7.516,2.120,1.756,2.224,29.844,-3.706,-0.723
0.297,0.163,0.095,0.240,0.077,0.009,-0.286,0.155,0.394,-0.387,-6.925,0.038,0.123,3.842,2.109,1.230,1.951,31.168,-3.779,-0.709
0.242,0.213,0.089,0.243,0.049,0.002,-0.048,0.283,0.394,-0.381,-7.034,0.016,0.049,4.929,4.338,1.821,4.929,30.565,-3.786,-0.708
0.514,0.232,0.139,0.391,0.074,0.008,-0.331,0.084,0.576,-0.395,-6.785,0.017,0.112,6.918,3.122,1.871,3.491,31.478,-3.823,-0.701
0.245,0.266,0.100,0.188,0.068,0.006,-0.205,0.230,0.429,-0.389,-6.889,0.026,0.093,3.582,3.889,1.462,2.017,30.384,-3.886,-0.690
0.245,0.266,0.100,0.188,0.068,0.006,-0.205,0.230,0.429,-0.389,-6.889,0.026,0.093,3.582,3.889,1.462,2.017,30.384,-3.886,-0.690
0.335,0.184,0.101,0.269,0.060,0.004,-0.310,0.242,0.453,-0.403,-6.650,0.018,0.071,5.574,3.062,1.681,3.783,31.106,-3.942,-0.680
0.250,0.332,0.130,0.234,0.065,0.005,-0.025,0.685,0.759,-0.385,-6.961,0.007,0.081,3.858,5.123,2.006,2.892,29.094,-4.000,-0.670
0.307,0.164,0.125,0.214,0.080,0.010,-0.203,0.052,0.369,-0.407,-6.585,0.047,0.124,3.828,2.045,1.559,1.726,30.774,-4.020,-0.667
0.248,0.294,0.104,0.168,0.062,0.004,-0.106,0.521,0.610,-0.373,-7.185,0.010,0.072,4.013,4.757,1.683,2.320,27.781,-4.040,-0.663
